,Date,Open,High,Low,Close,Volume
0,2006-06-01,471.6,474.0,442.0,444.42,21900.0
1,2006-06-12,454.0,464.0,440.0,446.17,8400.0
2,2006-06-22,451.16,464.2,447.6,460.26,19400.0
3,2006-07-03,495.1,509.68,493.0,498.97,9100.0
4,2006-07-13,518.0,526.4,517.0,521.66,6800.0
5,2006-07-24,464.0,469.58,449.2,466.52,51700.0
6,2006-08-01,483.2,491.0,475.8,480.92,24600.0
7,2006-08-11,541.0,555.0,541.0,552.09,32200.0
8,2006-08-21,566.01,574.0,562.02,567.33,13600.0
9,2006-09-01,562.0,568.0,556.0,564.04,12300.0
10,2006-09-11,573.6,573.6,560.0,564.85,17100.0
11,2006-09-21,579.0,579.6,574.67,578.39,5900.0
12,2006-10-03,591.0,592.0,585.96,585.96,6200.0
13,2006-10-13,606.0,622.0,601.4,617.79,24800.0
14,2006-10-23,674.14,704.45,674.14,704.45,65700.0
15,2006-11-01,718.0,729.0,716.0,717.56,23500.0
16,2006-11-10,700.04,704.2,690.0,692.55,46100.0
17,2006-11-21,676.92,685.0,676.0,679.01,11500.0
18,2006-12-01,704.0,752.0,701.01,738.24,33300.0
19,2006-12-11,767.0,789.0,740.0,758.22,17150.0
20,2006-12-21,712.0,712.98,696.0,703.65,27800.0
21,2007-01-02,747.0,755.2,740.0,742.81,21700.0
22,2007-01-12,719.4,730.0,713.0,723.85,28600.0
23,2007-01-22,722.0,726.8,715.6,717.3,6200.0
24,2007-02-01,729.8,760.55,722.8,760.55,49700.0
25,2007-02-12,770.0,770.0,734.1,739.02,34300.0
26,2007-02-21,768.0,779.6,760.42,769.61,43300.0
27,2007-03-01,724.0,731.0,705.0,721.62,28500.0
28,2007-03-12,700.0,728.0,692.6,718.53,30200.0
29,2007-03-22,705.2,723.01,704.2,718.04,64900.0
30,2007-04-02,705.0,705.0,676.2,679.72,14800.0
31,2007-04-12,724.8,730.26,720.0,730.26,12600.0
32,2007-04-23,780.0,781.63,772.0,781.63,35400.0
33,2007-05-03,822.0,828.8,816.0,819.76,11100.0
34,2007-05-14,846.2,859.8,842.0,856.57,34300.0
35,2007-05-23,872.4,879.0,866.0,874.93,8700.0
36,2007-06-01,922.0,949.0,921.0,939.38,37900.0
37,2007-06-11,911.4,917.8,901.0,903.26,14100.0
38,2007-06-21,927.0,950.0,927.0,943.84,38300.0
39,2007-07-02,1090.0,1148.0,1090.0,1114.75,17150.0
40,2007-07-12,1085.9,1124.9,1085.9,1105.4,17150.0
41,2007-07-23,1061.0,1147.4,1061.0,1136.1,17150.0
42,2007-08-01,1125.0,1125.0,1077.0,1081.55,17150.0
43,2007-08-10,1050.0,1103.0,1050.0,1086.2,17150.0
44,2007-08-21,1060.0,1060.0,990.0,1025.0,17150.0
45,2007-09-03,1131.0,1172.4,1131.0,1172.4,17150.0
46,2007-09-13,1229.0,1232.0,1213.1,1218.6,36700.0
47,2007-09-24,1318.0,1324.0,1296.25,1307.4,93000.0
48,2007-10-01,1310.0,1324.0,1291.15,1302.85,56900.0
49,2007-10-11,1424.0,1435.0,1395.1,1425.45,71700.0
50,2007-10-22,1386.0,1435.0,1327.0,1376.55,17150.0
51,2007-11-01,1614.0,1650.0,1565.0,1590.75,17150.0
52,2007-11-12,1575.0,1575.0,1500.0,1548.0,35500.0
53,2007-11-22,1550.0,1550.0,1453.0,1525.0,30500.0
54,2007-12-03,1580.0,1602.95,1558.0,1602.95,17150.0
55,2007-12-13,1620.0,1649.9,1600.05,1607.85,23600.0
56,2007-12-24,1490.0,1500.0,1445.0,1456.05,17150.0
57,2008-01-01,1528.0,1528.0,1501.0,1510.95,19800.0
58,2008-01-11,1499.0,1505.0,1445.0,1457.2,79100.0
59,2008-01-21,1386.0,1386.0,1241.55,1276.55,56100.0
60,2008-02-01,1130.0,1176.0,1079.15,1132.7,17150.0
61,2008-02-12,1265.0,1298.0,1255.0,1264.75,26800.0
62,2008-02-22,1200.0,1201.0,1175.0,1190.5,49100.0
63,2008-03-03,1137.0,1137.0,1095.0,1109.65,17150.0
64,2008-03-13,1102.0,1128.0,1080.0,1103.3,17150.0
65,2008-03-24,1125.0,1139.9,1071.0,1104.25,47100.0
66,2008-04-01,1188.0,1208.0,1161.8,1195.15,18000.0
67,2008-04-11,1105.0,1135.0,1095.0,1117.6,29400.0
68,2008-04-21,1179.0,1205.0,1160.0,1182.5,19400.0
69,2008-05-02,1120.0,1159.0,1115.0,1126.55,90100.0
70,2008-05-12,1055.0,1086.0,1032.8,1072.5,32800.0
71,2008-05-22,1029.0,1030.9,996.5,1001.1,107800.0
72,2008-06-02,1040.0,1065.0,1015.05,1025.65,17150.0
73,2008-06-12,980.0,980.0,945.0,963.3,43000.0
74,2008-06-23,918.0,921.0,878.05,890.95,30200.0
75,2008-07-01,813.5,813.5,755.0,769.7,77900.0
76,2008-07-11,883.0,928.0,838.0,851.75,45100.0
77,2008-07-21,900.0,914.95,878.5,891.05,17150.0
78,2008-08-01,765.0,806.0,753.35,801.65,17150.0
79,2008-08-11,874.5,896.9,845.0,876.15,74800.0
80,2008-08-21,890.0,910.0,885.0,899.1,70100.0
81,2008-09-01,880.0,899.0,865.0,894.1,51800.0
82,2008-09-11,890.0,890.9,874.75,874.75,22600.0
83,2008-09-22,840.0,840.0,821.15,832.4,30000.0
84,2008-10-01,795.0,804.8,789.0,791.15,17150.0
85,2008-10-10,642.0,690.25,615.0,641.35,17150.0
86,2008-10-21,651.0,678.0,651.0,673.05,51700.0
87,2008-11-03,560.0,578.0,547.95,560.9,67200.0
88,2008-11-14,480.0,490.0,455.0,461.05,17150.0
89,2008-11-24,428.0,444.0,421.1,429.0,71300.0
90,2008-12-01,438.0,458.55,419.0,420.55,52900.0
91,2008-12-11,466.25,469.0,448.45,452.9,99600.0
92,2008-12-22,474.0,474.0,461.25,466.1,78300.0
